证券代码	证券简称
002604.SZ	*ST龙力
300216.SZ	千山药机
002290.SZ	*ST中科
000707.SZ	ST双环
300163.SZ	先锋新材
300030.SZ	阳普医疗
600186.SH	*ST莲花
300141.SZ	和顺电气
000737.SZ	ST南风
300591.SZ	万里马
300210.SZ	森远股份
002743.SZ	富煌钢构
601798.SH	ST蓝科
002289.SZ	*ST宇顺
002347.SZ	泰尔股份
603628.SH	清源股份
300281.SZ	金明精机
600107.SH	美尔雅
002501.SZ	*ST利源
002045.SZ	国光电器
002432.SZ	九安医疗
000868.SZ	*ST安凯
000911.SZ	*ST南糖
600074.SH	*ST保千
002684.SZ	*ST猛狮
300153.SZ	科泰电源
002560.SZ	通达股份
300345.SZ	红宇新材
