,fund540006,fund000057,fund000082,fund000003,fund000067,fund000017,fund000083
fund540006,1.0,0.6800295143114707,0.8868897737681986,0.7419404952858742,0.7702962829887786,0.7152868931472106,0.6902312208387676
fund000057,0.6800295143114707,1.0,0.8145323407542135,0.5419743770573449,0.5237776494534334,0.8481716201398737,0.9176458555178469
fund000082,0.8868897737681986,0.8145323407542135,1.0,0.7875097449129166,0.7651248061266749,0.878133048765733,0.7857550116372739
fund000003,0.7419404952858742,0.5419743770573449,0.7875097449129166,1.0,0.865255853812691,0.6891383000839995,0.525762873800548
fund000067,0.7702962829887786,0.5237776494534334,0.7651248061266749,0.865255853812691,1.0,0.6268282569829612,0.4963532862986815
fund000017,0.7152868931472106,0.8481716201398737,0.878133048765733,0.6891383000839995,0.6268282569829612,1.0,0.8008332389941335
fund000083,0.6902312208387676,0.9176458555178469,0.7857550116372739,0.525762873800548,0.4963532862986815,0.8008332389941335,1.0
