fund540006,fund000057,fund000082,fund000003,fund000067,fund000017,fund000083
-0.761368,-0.836013,-0.2886,-0.398936,-0.151057,-1.223063,-1.631835
-0.97949,-2.139711,-1.141227,-1.182654,-0.898204,-2.220957,-1.992144
1.311081,0.442478,1.300578,0.794702,0.754148,0.342857,0.535966
0.736096,-0.503145,0.362582,0,0.454545,0.459242,-0.112708
1.977017,2.979275,2.148148,1.615074,1.694915,2.894271,2.631579
0.04945,1.378858,0.671141,0.677507,0.309119,0.893921,1.022495
1.0525,1.128818,1.283988,0.957592,0.936037,1.328502,1.753864
0.559028,3.080082,2.081727,1.668985,1.584786,2.096178,2.436054
-3.614348,-3.116711,-3.640416,-3.360215,-3.957382,-3.164179,-3.069658
-1.646421,0.667557,-0.296296,-1.195219,-1.49925,0.359497,0.385185
-1.972916,-5.129829,-2.597403,-1.439791,-0.744048,-4.190586,-3.488705
-2.423466,-2.830769,-3.549061,-2.176697,-2.608696,-2.790179,-2.209172
1.385881,-2.869097,0,1.034929,1.470588,-1.049144,-0.996678
0.985509,0.661853,0.559832,0.913838,0.740741,0.388027,0
-0.461458,-0.894454,-1.175657,-1.28866,-1.459854,-0.879121,-0.358621
-0.554145,2.318487,0,0,-0.145773,1.392758,1.569067
-1.388889,-2.440476,-0.481762,-1.020408,-1.010101,-0.99283,-0.971143
-0.357325,-2.211874,-1.691475,-2.122347,-1,-2.264151,-2.330623
0.241635,0.7034,0.407609,0.125,0.286533,0.378788,0.929978
0.145192,-1.101449,-0.540541,-0.249377,0.431655,-1.176471,-0.867679
0.728378,-0.404157,0.067613,0.501253,0.870827,0,-0.966702
0.736632,1.345816,1.02459,1.012658,0.583942,0.700054,0.921409
0.29843,3.325272,1.314879,0.636943,0.735294,1.586433,2.986324
0.136362,-0.898742,0.069252,0.641026,0.740741,-0.327154,-1.022099
0.889852,0.300481,0.557103,0.515464,0.746269,0.328228,0.388242
0.275911,-2.290076,-0.554017,-0.385109,-0.149031,-1.983914,-1.877551
0.670764,1.671642,0.417246,0.386598,0.750751,1.856909,0.933809
-0.197588,0.359497,-0.55325,-0.512821,-0.745156,0.604396,1.082732
0.079688,0.481638,0.069204,0,0.298954,0.3861,1.493378
-0.123806,-0.835821,-0.069156,-0.255754,0,-0.165198,-0.392927
0.236379,0.119546,-0.069109,-0.382166,-0.446429,0.276091,0.592885
0.290405,2.074436,0.695894,-0.506971,-0.444444,1.741573,2.192729
0.605193,-0.182704,0,0.126904,0.596125,0.678733,0.202371
-0.014904,-0.060864,-0.208333,1.155327,0.750751,0.169972,0.26087
0.24802,1.670792,0.069493,-0.256082,0.150376,1.030338,1.291838
0.374925,1.891551,0.69979,1.034929,0.757576,0.924321,0.235433
0.938541,0.379747,1.275691,0.782269,1.071975,0.815376,1.25149
0.891848,0.126662,0.785714,0.524246,0.30722,0.233508,-0.3267
0.775647,1.870968,0.430416,0.262812,0.462963,1.002358,1.90678
-0.803004,-1.898734,-1.344657,-0.652742,-0.460829,-2.021953,-2.045657
0.577325,-0.37831,0.497866,-0.260417,0.153846,-0.230548,-0.648012
-0.519338,-0.501882,-0.424929,-0.25974,-0.306748,-0.573066,0.117959
-0.155559,-0.993789,-0.141443,0.391134,0,-0.569801,-0.264706
0.988788,0.877193,1.289398,0.39267,0.307692,1.5625,0.7109
-0.279527,0.251256,-0.071582,-0.261097,-0.459418,0.699301,0.776119
1.102484,0.505051,1.37881,0.26178,0.461538,1.658768,1.269649
-0.133362,1.149425,0,-0.130719,-0.459418,-0.588928,0.853659
-1.07992,-0.886076,-0.863309,-0.130548,-0.305344,-1.963048,-0.906344
-0.378985,-0.441084,0.071994,-0.130378,-0.304414,0.173511,-0.481058
0.807222,1.405751,0.87146,0,0.152439,1.407625,1.83711
-1.196347,-0.886637,-1.00647,-0.647668,-0.75643,-0.408879,-0.63888
1.154734,2.799479,1.681287,0.520833,0.455927,2.761104,3.170119
0.408125,1.453104,1.108647,0.919842,0.765697,1.399878,1.724138
-0.931173,-1.174935,-0.951684,0.263505,-0.152905,-1.73445,-1.38539
-0.448253,-0.905563,-0.219138,-0.131579,0,0.059844,-1.120797
0.125179,-0.322373,-0.436364,-0.52356,-0.456621,-0.948429,0.500626
-0.346852,1.972387,0.364964,-0.520833,-0.605144,1.871981,1.880778
-0.109413,0.661813,0.439883,-0.130039,-0.301659,0.363636,-0.286078
-0.592163,-1.435095,-1.15942,-0.645995,-0.300752,-0.900901,-1.038062
0.151291,-0.519143,0.363636,0.389105,0.150602,-0.359066,-1.303943
0.154555,1.248357,0.658858,-0.258732,-0.150376,1.211387,0.750704
-0.302133,-2.18509,-1.229212,-0.642674,-0.29985,-2.653302,-1.539883
0.078616,-0.320307,-0.21645,-0.12837,0,-0.702576,-0.276413
